order,name,category,logo
1,"Coca-Cola",Corporate Partner,logos/01-coca-cola.png
2,"CCI Bangladesh",Corporate Partner,logos/02-cci-bangladesh.png
3,"Grameenphone",Corporate Partner,logos/03-grameenphone.jpeg
4,"Airtel",Corporate Partner,logos/04-airtel.png
5,"Dhaka Bank PLC",Corporate Partner,logos/05-dhaka-bank-plc.jpg
6,"Nagad",Corporate Partner,logos/06-nagad.png
7,"Suzuki",Corporate Partner,logos/07-suzuki.png
8,"Yamaha",Corporate Partner,logos/08-yamaha.png
9,"TVS",Corporate Partner,logos/09-tvs.png
10,"Honor",Corporate Partner,logos/10-honor.png
11,"ShareTrip",Corporate Partner,logos/11-sharetrip.jpeg
12,"Shohoz",Corporate Partner,logos/12-shohoz.png
13,"Smart",Corporate Partner,logos/13-smart.svg
14,"Clemon",Corporate Partner,logos/14-clemon.png
15,"Maxx Cola",Corporate Partner,logos/15-maxx-cola.jpg
16,"ACI Fruit Sal",Corporate Partner,logos/16-aci-fruit-sal.jpg
17,"Dan Cake",Corporate Partner,logos/17-dan-cake.png
18,"Polar Ice Cream",Corporate Partner,logos/18-polar-ice-cream.jpeg
19,"Igloo",Corporate Partner,logos/19-igloo.jpeg
20,"Funtastic",Corporate Partner,logos/20-funtastic.jpg
21,"Turag Active",Corporate Partner,logos/21-turag-active.png
22,"Detos",Corporate Partner,logos/22-detos.jpeg
23,"Bashundhara Kings",Corporate Partner,logos/23-bashundhara-kings.jpg
24,"Zhiyun",Corporate Partner,logos/24-zhiyun.jpeg
25,"Takyon E-Bike",Corporate Partner,logos/25-takyon-e-bike.png
26,"Dera Resort & Spa",Corporate Partner,logos/26-dera-resort-and-spa.png
27,"Zulcan Indoor Arena",Corporate Partner,logos/27-zulcan-indoor-arena.png
28,"Twelve",Corporate Partner,logos/28-twelve.jpeg
29,"Khar",Corporate Partner,logos/29-khar.png
30,"Duranta Sports Gallery",Corporate Partner,logos/30-duranta-sports-gallery.png
31,"Partner",Corporate Partner,logos/31-partner.png
32,"Jersey Freak BD",Corporate Partner,logos/32-jersey-freak-bd.jpg
33,"Moja Lage",Corporate Partner,logos/33-moja-lage.jpg
34,"East West Medical College & Hospital",Corporate Partner,logos/34-east-west-medical-college-and-hospital.jpg
35,"Bridal Heritage",Corporate Partner,logos/35-bridal-heritage.png
36,"The Daily Star",Media Partner,logos/36-the-daily-star.jpeg
37,"Daily Sun",Media Partner,logos/37-daily-sun.jpg
38,"The Daily Janakantha",Media Partner,logos/38-the-daily-janakantha.jpg
39,"Somoy News",Media Partner,logos/39-somoy-news.jpeg
40,"News24",Media Partner,logos/40-news24.png
41,"Ekattor TV",Media Partner,logos/41-ekattor-tv.png
42,"Star News",Media Partner,logos/42-star-news.png
43,"Star Play",Media Partner,logos/43-star-play.jpg
44,"Radio Today 89.6 FM",Media Partner,logos/44-radio-today-89-6-fm.jpeg
45,"Toffee",Media Partner,logos/45-toffee.jpeg
46,"Daily NSU",Media Partner,logos/46-daily-nsu.jpg
47,"Dhaka Chronicles",Media Partner,logos/47-dhaka-chronicles.jpg
